filename,cell_structure,symmetry_number,space_group_name_Hall,space_group_name_H-M,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_length_a,cell_length_b,cell_length_c
2105346.cif,orthorhombic,44,Imm2,Imm2,90.0,90.0,90.0,3.528,6.172,5.181
2105347.cif,trigonal,160,R3m,R3m,90.0,90.0,120.0,5.196,5.196,8.49
2105348.cif,orthorhombic,19,P2_12_12_1,P2_12_12_1,90.0,90.0,90.0,10.125,7.335,6.992
2105349.cif,trigonal,161,R3c,R3c,90.0,90.0,120.0,5.16,5.16,16.58
2105350.cif,orthorhombic,70,Fddd,Fddd,90.0,90.0,90.0,8.089,10.573,10.744
2105351.cif,monoclinic,12,C2/m,C2/m,90.0,143.1,90.0,11.21,6.998,8.972
2105352.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,16.558,4.788,6.385
2105356.cif,triclinic,2,P-1,P-1,64.24,66.51,76.27,6.992,8.712,10.818
2105358.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,161.3,90.0,20.291,11.797,19.616
2105359.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,4.987,4.987,4.987
2105360.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,6.846,5.132,12.823
2105361.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,6.657,5.111,12.489
2105362.cif,orthorhombic,55,Pbam,Pbam,90.0,90.0,90.0,10.947,18.968,5.313
2105363.cif,orthorhombic,19,P2_12_12_1,P2_12_12_1,90.0,90.0,90.0,7.435,7.776,17.134
2105365.cif,tetragonal,87,I4/m,I4/m,90.0,90.0,90.0,6.67,6.67,4.158
2105366.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,90.0,90.0,10.31,8.07,6.62
2105367.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,10.42,5.78,8.95
2105368.cif,cubic,198,P2_13,P2_13,90.0,90.0,90.0,8.627,8.627,8.627
2105369.cif,cubic,205,Pa-3,Pa-3,90.0,90.0,90.0,8.173,8.173,8.173
2105370.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,90.0,93.58,6.522,19.616,11.797
2105371.cif,monoclinic,15,C2/c,C2/c,90.0,141.7,90.0,16.672,6.534,16.211
2105372.cif,monoclinic,15,C2/c,C2/c,90.0,90.0,106.8,10.778,16.211,6.534
2105373.cif,orthorhombic,19,P2_12_12_1,P2_12_12_1,90.0,90.0,90.0,14.169,11.598,6.585
2105374.cif,tetragonal,87,I4/m,I4/m,90.0,90.0,90.0,6.574,6.574,4.069
2105377.cif,monoclinic,13,P2/c,P2/c,90.0,110.5,90.0,10.264,5.259,8.052
2105379.cif,orthorhombic,31,Pmn2_1,Pmn2_1,90.0,90.0,90.0,7.823,7.712,10.885
2105380.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,11.566,11.566,11.566
2105382.cif,orthorhombic,44,Imm2,Imm2,90.0,90.0,90.0,5.9,6.4,8.7
2105383.cif,cubic,198,P2_13,P2_13,90.0,90.0,90.0,11.126,11.126,11.126
2105384.cif,cubic,215,P-43m,P-43m,90.0,90.0,90.0,9.922,9.922,9.922
2105385.cif,orthorhombic,65,Cmmm,Cmmm,90.0,90.0,90.0,4.6,15.45,4.76
2105386.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,4.212,4.212,4.212
2105387.cif,trigonal,148,R-3,R-3,113.45,113.45,113.45,8.148,8.148,8.148
2105388.cif,monoclinic,7,Pc,Pc,90.0,95.37,90.0,8.671,6.386,12.243
2105389.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.881,4.881,4.881
2105390.cif,orthorhombic,43,Fdd2,Fdd2,90.0,90.0,90.0,12.827,10.52,3.838
2105391.cif,monoclinic,12,C2/m,C2/m,90.0,108.39,90.0,5.863,14.439,4.674
2105392.cif,cubic,220,I-43d,I-43d,90.0,90.0,90.0,9.818,9.818,9.818
2105393.cif,tetragonal,87,I4/m,I4/m,90.0,90.0,90.0,6.398,6.398,4.046
2105394.cif,tetragonal,83,P4/m,P4/m,90.0,90.0,90.0,12.6,12.6,4.0
2105396.cif,monoclinic,15,C2/c,C2/c,90.0,100.3,90.0,7.765,7.745,9.076
2105397.cif,tetragonal,138,P4_2/ncm,P4_2/ncm,90.0,90.0,90.0,10.395,10.395,9.706
2105399.cif,cubic,215,P-43m,P-43m,90.0,90.0,90.0,9.829,9.829,9.829
2105400.cif,orthorhombic,60,Pbcn,Pbcn,90.0,90.0,90.0,6.593,12.063,4.343
2105401.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,7.306,31.163,9.166
2105402.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.04,90.0,11.107,6.627,11.044
2105403.cif,orthorhombic,36,Cmc2_1,Cmc2_1,90.0,90.0,90.0,4.613,7.803,4.129
2105404.cif,trigonal,144,P3_1,P3_1,90.0,90.0,120.0,4.336,4.336,8.34
2105405.cif,tetragonal,122,I-42d,I-42d,90.0,90.0,90.0,11.672,11.672,5.698
2105406.cif,orthorhombic,61,Pbca,Pbca,90.0,90.0,90.0,9.279,8.91,13.372
2105407.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,11.38,6.382,11.304
2105408.cif,cubic,205,Pa-3,Pa-3,90.0,90.0,90.0,9.008,9.008,9.008
2105409.cif,trigonal,146,R3,R3,90.0,90.0,120.0,8.847,8.847,10.321
2105410.cif,trigonal,148,R-3,R-3,91.8,91.8,91.8,6.151,6.151,6.151
2105412.cif,monoclinic,9,Cc,Cc,90.0,109.32,90.0,8.147,20.085,10.513
2105413.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.741,3.232,6.634
2105416.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,4.644,4.644,5.259
2105417.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,10.057,8.618,4.49
2105418.cif,triclinic,2,P-1,P-1,88.77,69.71,69.24,3.353,19.665,19.627
2105419.cif,triclinic,2,P-1,P-1,85.89,102.0,119.56,6.833,7.01,11.125
2105420.cif,trigonal,166,R-3m,R-3m,69.5,69.5,69.5,5.231,5.231,5.231
2105422.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,100.27,90.0,3.948,8.692,12.402
2105423.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,10.452,10.452,10.452
2105424.cif,orthorhombic,68,Ccce,Ccce,90.0,90.0,90.0,7.41,22.26,7.44
2105425.cif,orthorhombic,61,Pbca,Pbca,90.0,90.0,90.0,13.714,8.091,8.631
2105426.cif,tetragonal,134,P4_2/nnm,P4_2/nnm,90.0,90.0,90.0,8.83,8.83,5.072
2105427.cif,tetragonal,134,P4_2/nnm,P4_2/nnm,90.0,90.0,90.0,8.824,8.824,5.027
2105428.cif,orthorhombic,19,P2_12_12_1,P2_12_12_1,90.0,90.0,90.0,6.213,8.521,9.17
2105430.cif,cubic,219,F-43c,F-43c,90.0,90.0,90.0,12.134,12.134,12.134
2105431.cif,tetragonal,114,P-42_1c,P-42_1c,90.0,90.0,90.0,12.141,12.141,12.161
2105432.cif,tetragonal,91,P4_122,P4_122,90.0,90.0,90.0,8.56,8.56,13.2
2105434.cif,orthorhombic,31,Pmn2_1,Pmn2_1,90.0,90.0,90.0,4.435,10.731,4.24
2105435.cif,orthorhombic,55,Pbam,Pbam,90.0,90.0,90.0,5.958,11.53,3.465
2105437.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,7.324,7.324,4.181
2105438.cif,tetragonal,86,P4_2/n,P4_2/n,90.0,90.0,90.0,7.541,7.541,4.012
2105476.cif,tetragonal,124,P4/mcc,P4/mcc,90.0,90.0,90.0,9.464,9.464,31.906
2105477.cif,monoclinic,13,P2/c,P2/c,90.0,92.352,90.0,9.441,9.424,31.883
2105485.cif,triclinic,2,P-1,P-1,90.44,110.07,100.64,8.282,10.095,11.613
2105486.cif,monoclinic,13,P2/c,P2/c,90.0,101.75,90.0,15.473,5.849,10.131
2105487.cif,monoclinic,13,P2/c,P2/c,90.0,101.52,90.0,15.534,5.825,10.089
2105488.cif,monoclinic,13,P2/c,P2/c,90.0,101.46,90.0,15.538,11.641,10.085
2105507.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,92.827,90.0,6.809,13.394,7.279
2105517.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.678,9.678,9.678
2105518.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.655,9.655,9.655
2105519.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.752,9.752,9.752
2105520.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.78,9.78,9.78
2105521.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.649,9.649,9.649
2105522.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.665,9.665,9.665
2105523.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.754,9.754,9.754
2105524.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.743,9.743,9.743
2105525.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.673,9.673,9.673
2105526.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.691,9.691,9.691
2105527.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,9.686,9.686,9.686
2105552.cif,monoclinic,4,P2_1,P2_1,90.0,119.035,90.0,10.048,8.576,10.212
2105557.cif,monoclinic,15,C2/c,C2/c,90.0,90.013,90.0,8.519,4.745,10.397
2105559.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,99.92,90.0,7.856,7.732,7.827
2105593.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,7.976,10.692,6.057
2105634.cif,monoclinic,12,C2/m,C2/m,90.0,107.816,90.0,12.372,5.674,7.481
2105636.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,100.45,90.0,6.006,9.338,10.986
2105638.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,100.08,90.0,5.968,9.283,10.897
2105643.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,13.218,6.65,10.761
2105644.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,13.261,6.679,10.769
2105658.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,10.27,7.946,13.935
2105659.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,10.27,7.946,13.935
2105660.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,10.27,7.946,13.935
2105661.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,10.24,7.9,13.888
2105662.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,90.0,90.0,10.231,7.873,13.906
2105672.cif,orthorhombic,31,Pmn2_1,Pmn2_1,90.0,90.0,90.642,9.907,9.907,9.87
2105673.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,9.789,7.541,13.418
2105674.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,9.773,7.528,13.373
2105685.cif,monoclinic,15,C2/c,C2/c,90.0,108.701,90.0,9.539,8.66,5.262
2105687.cif,orthorhombic,47,Pmmm,Pmmm,90.0,90.0,90.0,4.335,4.425,26.701
2105689.cif,monoclinic,15,C2/c,C2/c,90.0,121.48,90.0,13.77,6.637,10.351
2105706.cif,cubic,205,Pa-3,Pa-3,90.0,90.0,90.0,11.177,11.177,11.177
2105707.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,102.665,90.0,10.132,6.7,10.239
2105715.cif,tetragonal,113,P-42_1m,P-42_1m,90.0,90.0,90.0,10.201,10.201,5.308
2105716.cif,tetragonal,81,P-4,P-4,90.0,90.0,90.0,10.181,10.181,5.295
2105790.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,4.398,4.398,2.873
2105791.cif,cubic,206,Ia-3,Ia-3,90.0,90.0,90.0,9.415,9.415,9.415
2105792.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,95.372,90.0,7.069,19.792,23.472
2105805.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,5.877,5.877,5.877
2105810.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,2.768,4.794,4.386
2105813.cif,tetragonal,121,I-42m,I-42m,90.0,90.0,90.0,5.435,5.435,10.846
2105814.cif,orthorhombic,70,Fddd,Fddd,90.0,90.0,90.0,12.164,20.101,2.718
2105815.cif,orthorhombic,70,Fddd,Fddd,90.0,90.0,90.0,12.207,20.155,2.725
2105816.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,8.347,8.347,16.809
2105954.cif,monoclinic,15,C2/c,C2/c,90.0,106.08,90.0,25.082,7.222,14.148
2105955.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,107.929,90.0,11.65,10.545,13.018
2105956.cif,tetragonal,92,P4_12_12,P4_12_12,90.0,90.0,90.0,14.325,14.325,22.202
2105957.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,107.815,90.0,11.47,10.351,12.759
2105958.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,107.805,90.0,11.467,10.345,12.795
2105959.cif,triclinic,2,P-1,P-1,102.23,100.34,115.09,7.021,8.25,10.145
2105987.cif,orthorhombic,57,Pbcm,Pbcm,90.0,90.0,90.0,23.4,16.2,20.0
2105988.cif,monoclinic,8,Cm,Cm,90.0,104.493,90.0,5.503,9.529,7.333
2106009.cif,cubic,222,Pn-3n,Pn-3n,90.0,90.0,90.0,11.042,11.042,11.042
2106010.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,100.321,90.0,7.984,10.008,7.48
2106011.cif,triclinic,2,P-1,P-1,90.084,100.368,89.937,7.994,10.01,7.475
2106022.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,8.134,8.134,8.134
2106023.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,124.917,90.0,10.96,7.132,15.167
2106024.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,7.133,6.085,15.062
2106025.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.034,4.034,13.736
2106026.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.012,4.012,13.697
2106027.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.071,4.071,12.904
2106029.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,57.91,90.0,6.786,10.371,14.335
2106035.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,93.01,90.0,10.538,6.783,6.721
2106037.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,9.29,9.29,13.025
2106042.cif,monoclinic,15,C2/c,C2/c,90.0,115.94,90.0,14.09,6.998,12.7
2106043.cif,monoclinic,15,C2/c,C2/c,90.0,117.69,90.0,14.009,6.959,13.455
2106044.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,106.01,90.0,9.782,6.738,10.799
2106045.cif,orthorhombic,64,Cmce,Cmce,90.0,90.0,90.0,9.863,7.791,7.833
2106048.cif,monoclinic,8,Cm,Cm,90.0,102.0,90.0,15.38,3.61,7.37
2106049.cif,orthorhombic,26,Pmc2_1,Pmc2_1,90.0,90.0,90.0,3.924,11.509,20.219
2106051.cif,cubic,206,Ia-3,Ia-3,90.0,90.0,90.0,10.956,10.956,10.956
2106052.cif,cubic,206,Ia-3,Ia-3,90.0,90.0,90.0,11.144,11.144,11.144
2106053.cif,cubic,206,Ia-3,Ia-3,90.0,90.0,90.0,11.291,11.291,11.291
2106055.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,103.967,90.0,5.941,21.57,7.53
2106056.cif,cubic,221,Pm-3m,Pm-3m,90.0,90.0,90.0,3.842,3.842,3.842
2106057.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,3.878,13.96,3.732
2106058.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,91.12,90.0,6.877,6.589,4.929
2106059.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,91.12,90.0,6.88,6.593,4.932
2106060.cif,orthorhombic,38,Amm2,Amm2,90.0,90.0,90.0,6.136,47.4,3.84
2106061.cif,orthorhombic,38,Amm2,Amm2,90.0,90.0,90.0,6.172,29.226,3.85
2106062.cif,monoclinic,3,P2,P2,90.0,90.0,90.0,29.2,6.182,3.876
2106063.cif,orthorhombic,38,Amm2,Amm2,90.0,90.0,90.0,6.188,69.57,3.88
2106064.cif,orthorhombic,25,Pmm2,Pmm2,90.0,90.0,90.0,6.198,40.29,3.888
2106065.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,101.05,90.0,3.265,9.18,8.316
2106066.cif,triclinic,1,P1,P1,139.9,94.8,93.8,9.87,8.27,9.83
2106068.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,12.94,4.54,5.92
2106070.cif,triclinic,2,P-1,P-1,118.2,116.53,93.65,10.613,7.85,6.944
2106072.cif,cubic,227,Fd-3m,Fd-3m,90.0,90.0,90.0,8.34,8.34,8.34
2106073.cif,monoclinic,15,C2/c,C2/c,90.0,93.45,90.0,4.905,5.112,29.857
2106076.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,6.441,16.143,28.404
2106077.cif,trigonal,166,R-3m,R-3m,90.0,111.85,90.0,11.432,6.603,10.259
2106080.cif,orthorhombic,31,Pmn2_1,Pmn2_1,90.0,90.0,90.0,3.918,18.072,19.057
2106081.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.223,4.223,11.19
2106082.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,91.46,90.0,7.929,5.483,17.153
2106083.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,7.656,6.415,4.218
2106084.cif,triclinic,2,P-1,P-1,96.18,103.82,88.34,6.916,6.619,6.946
2106085.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,6.592,4.491,8.206
2106086.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,20.771,20.771,20.771
2106087.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,13.35,13.35,13.35
2106088.cif,cubic,225,Fm-3m,Fm-3m,90.0,90.0,90.0,13.344,13.344,13.344
2106089.cif,orthorhombic,52,Pnna,Pnna,90.0,90.0,90.0,15.839,7.819,9.151
2106090.cif,tetragonal,88,I4_1/a,I4_1/a,90.0,90.0,90.0,18.19,18.19,7.858
2106091.cif,tetragonal,88,I4_1/a,I4_1/a,90.0,90.0,90.0,5.775,5.775,13.252
2106092.cif,monoclinic,15,C2/c,C2/c,90.0,110.64,90.0,5.313,11.139,5.82
2106093.cif,monoclinic,12,C2/m,C2/m,90.0,105.0,90.0,12.214,4.06,5.219
2106094.cif,tetragonal,141,I4_1/amd,I4_1/amd,90.0,90.0,90.0,8.85,8.85,21.18
2106095.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,7.156,4.124,5.515
2106096.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,102.37,90.0,18.2,4.212,5.506
2106097.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,96.98,90.0,10.76,4.194,5.508
2106098.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,97.3,90.0,10.67,4.195,5.475
2106099.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,101.9,90.0,32.49,4.226,5.478
2106101.cif,triclinic,2,P-1,P-1,89.35,100.47,105.08,5.095,8.879,5.051
2106102.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,17.963,17.963,17.963
2106103.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,15.585,14.984,21.632
2106105.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,7.186,4.813,8.854
2106106.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,6.602,6.602,28.566
2106108.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,96.8,90.0,4.622,4.21,2.885
2106109.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,6.697,4.365,10.999
2106110.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,106.31,90.0,9.334,12.628,6.37
2106111.cif,tetragonal,140,I4/mcm,I4/mcm,90.0,90.0,90.0,12.232,12.232,25.16
2106113.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,3.572,3.572,13.168
2106115.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,7.88,5.421,8.97
2106116.cif,triclinic,2,P-1,P-1,101.9,95.54,92.12,7.473,10.137,6.202
2106117.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,5.765,8.542,6.592
2106119.cif,cubic,220,I-43d,I-43d,90.0,90.0,90.0,9.214,9.214,9.214
2106120.cif,cubic,220,I-43d,I-43d,90.0,90.0,90.0,9.649,9.649,9.649
2106121.cif,tetragonal,139,I4/mmm,I4/mmm,90.0,90.0,90.0,4.629,4.629,18.098
2106122.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,6.327,10.62,12.804
2106123.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,95.09,90.0,9.517,16.067,16.995
2106124.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.969,4.969,4.969
2106125.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,5.135,5.135,5.135
2106126.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,5.152,5.152,5.152
2106127.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.825,4.825,4.825
2106128.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.785,4.785,4.785
2106129.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.968,4.968,4.968
2106130.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.788,4.788,4.788
2106131.cif,cubic,217,I-43m,I-43m,90.0,90.0,90.0,19.804,19.804,19.804
2106132.cif,cubic,215,P-43m,P-43m,90.0,90.0,90.0,9.92,9.92,9.92
2106133.cif,cubic,215,P-43m,P-43m,90.0,90.0,90.0,9.941,9.941,9.941
2106134.cif,orthorhombic,47,Pmmm,Pmmm,90.0,90.0,90.0,7.86,6.52,5.3
2106135.cif,tetragonal,123,P4/mmm,P4/mmm,90.0,90.0,90.0,4.415,4.415,4.307
2106140.cif,monoclinic,15,C2/c,C2/c,90.0,97.25,90.0,15.658,6.29,7.258
2106142.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,9.05,9.05,4.69
2106143.cif,tetragonal,136,P4_2/mnm,P4_2/mnm,90.0,90.0,90.0,9.063,9.063,4.743
2106147.cif,trigonal,148,R-3,R-3,90.0,90.0,120.0,9.581,9.581,10.143
2106149.cif,trigonal,148,R-3,R-3,90.0,90.0,120.0,9.478,9.478,10.21
2106150.cif,tetragonal,142,I4_1/acd,I4_1/acd,90.0,90.0,90.0,13.73,13.73,27.42
2106151.cif,orthorhombic,69,Fmmm,Fmmm,90.0,90.0,90.0,11.38,12.996,3.916
2106154.cif,trigonal,166,R-3m,R-3m,90.0,90.0,120.0,4.928,4.928,48.743
2106155.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,100.39,90.0,14.35,4.271,5.468
2106156.cif,triclinic,2,P-1,P-1,90.22,82.84,106.81,10.071,9.126,6.724
2106157.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,99.69,90.0,7.016,7.545,9.728
2106158.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,6.7,4.398,10.06
2106159.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,102.11,90.0,7.058,7.286,24.77
2106160.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,7.436,14.776,7.626
2106161.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,6.057,6.057,6.057
2106162.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,5.475,5.475,5.475
2106163.cif,cubic,216,F-43m,F-43m,90.0,90.0,90.0,5.733,5.733,5.733
2106164.cif,tetragonal,127,P4/mbm,P4/mbm,90.0,90.0,90.0,6.83,6.83,3.547
2106165.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,5.529,47.75,4.323
2106169.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.681,4.681,4.681
2106170.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.684,4.684,4.684
2106171.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.706,4.706,4.706
2106172.cif,cubic,223,Pm-3n,Pm-3n,90.0,90.0,90.0,4.677,4.677,4.677
2106174.cif,monoclinic,12,C2/m,C2/m,90.0,110.3,90.0,7.37,8.26,3.19
2106176.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,127.88,90.0,6.692,11.04,7.841
2106177.cif,triclinic,2,P-1,P-1,102.3,102.4,105.9,7.694,11.916,5.817
2106179.cif,tetragonal,113,P-42_1m,P-42_1m,90.0,90.0,90.0,7.86,7.86,5.024
2106181.cif,cubic,217,I-43m,I-43m,90.0,90.0,90.0,9.234,9.234,9.234
2106182.cif,trigonal,148,R-3,R-3,90.0,90.0,120.0,15.293,15.293,10.449
2106183.cif,monoclinic,11,P2_1/m,P2_1/m,90.0,90.0,96.3,10.998,21.259,3.897
2106184.cif,triclinic,1,P1,P1,96.34,103.82,88.33,6.91,6.627,6.998
2106187.cif,monoclinic,5,C2,C2,90.0,91.88,90.0,10.871,7.254,6.14
2106188.cif,cubic,204,Im-3,Im-3,90.0,90.0,90.0,8.195,8.195,8.195
2106189.cif,monoclinic,15,C2/c,C2/c,90.0,149.4,90.0,11.03,16.92,9.64
2106190.cif,tetragonal,102,P4_2nm,P4_2nm,90.0,90.0,90.0,10.759,10.759,5.656
2106191.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,97.79,90.0,6.34,8.068,12.34
2106194.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,126.2,90.0,12.887,27.28,15.219
2106195.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,5.835,3.349,12.082
2106196.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,5.835,2.568,12.082
2106198.cif,orthorhombic,56,Pccn,Pccn,90.0,90.0,90.0,6.557,11.634,9.464
2106199.cif,tetragonal,123,P4/mmm,P4/mmm,90.0,90.0,90.0,3.88,3.88,4.12
2106200.cif,orthorhombic,55,Pbam,Pbam,90.0,90.0,90.0,6.93,11.86,3.86
2106202.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,9.185,9.326,5.749
2106206.cif,orthorhombic,61,Pbca,Pbca,90.0,90.0,90.0,8.171,12.815,14.035
2106207.cif,monoclinic,4,P2_1,P2_1,90.0,103.7,90.0,6.66,8.629,6.411
2106208.cif,monoclinic,4,P2_1,P2_1,90.0,109.34,90.0,9.43,4.063,18.378
2106209.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,5.129,5.129,13.839
2106210.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,5.142,5.142,13.731
2106211.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,95.704,90.0,11.064,12.104,7.134
2106213.cif,orthorhombic,19,P2_12_12_1,P2_12_12_1,90.0,90.0,90.0,11.034,17.569,5.024
2106214.cif,orthorhombic,33,Pna2_1,Pna2_1,90.0,90.0,90.0,7.659,14.613,6.875
